Name,Quantity,Unit,Location,Price,Last Updated,Notes
1L erlenmeyer flask with rubber coated hole at neck,1.00,,7,0,5/25/2023,
1L plastic flask with hose attachment,2.00,,7,0,5/25/2023,
250ml clear glass jars WM,0.00,,7,0,5/25/2023,
2L plastic flask with hose attachment,0.00,,7,0,5/25/2023,
5 gallon glass bottle,1,ea,7,0,5/25/2023,broken
round bottom flask 2L top neck 29/42 two side necks ?? 24/40,1.00,,7,0,5/25/2023,
500mL side arm glass bottle aspirator bottle tubulation at bottom,1,ea,7,0,5/25/2023,
500ml side arm flask with missing tubulation,,,,0,5/25/2023,
2L glass beaker,1.00,,7,0,5/25/2023,
122mL glass nm bottle ground glass neck one with stopper,2.00,,7,0,5/25/2023,
"Glass funnel 10"" OD at top est 2L",2.00,,,0,5/25/2023,
"5""tall by 2.5"" ID glass cylindar w/footed base",1.00,,7,0,5/25/2023,
Assorted Glass Jars,,,7,0,5/25/2023,
double walled side arm beaker,0.00,,7,0,5/26/2023,
Flask Erlenmeyer 1000ml,1.00,,7,0,5/27/2023,
Large glass crucible,1.00,,7,0,5/28/2023,
Large Glass Flask,1.00,,7,0,5/29/2023,
small alcohol lamp cap is jamme,1,ea,7,0,5/30/2023,
Filtration manifold upper glass funnel millipore  250ml,2,ea,7,0,5/31/2023,
2000 mL three neck round bottom flask,1.00,,8,0,6/5/2023,
60 mm Glass Filter Funnels Long   stem?,many,,8,0,6/5/2023,
Air & gas nozzle,3,ea,8,0,6/5/2023,
Random Distilling Glassware,many,,8,0,6/5/2023,
Random Distilling Glassware,many,,9,0,6/5/2023,
Assorted Glassware,1.00,,9,0,6/5/2023,
Culture tubes 22 mm x 175 mm,1.00,,9,0,6/5/2023,1 box
"Extraction Thimbles, 10X50mm",3.00,,9,0,6/5/2023,
"Extraction Thimbles, 135X50 mm",2.00,,9,0,6/5/2023,
"Extraction Thimbles, 165X190mm",77.00,,9,0,6/5/2023,
"Extraction Thimbles, 25X80 mm",4.00,,9,0,6/5/2023,
"Extraction Thimbles, 35X90 mm",5.00,,9,0,6/5/2023,
"Extraction Thimbles, 43X123 mm",60.00,,9,0,6/5/2023,
"Extraction Thimbles, 60x80mm",32.00,,10,0,6/5/2023,
60 ml amber glass Bottle,3,boxes,10,0,6/5/2023,1 open
Cup Sink,1,box,10,0,6/5/2023,opened
"Funnels, Small Glass     narrow spout small stem",14.00,,10,0,6/5/2023,
Assorted glassware,1,box,11,0,,
Flask Round 250ml,1,box,11,0,,
Flask Round Bottom 3000ml,0,Units,11,0,,
Funnel Separatory 125ml (in boxes),3.00,,11,0,,
Long Stem Glass Funnels ??diameter of top?,1,box,11,0,,
Old Fashion Ground Glass Bottle,1,box,11,0,,
Plastic funnel 65 ml    ?? Is this wide or narrow spout?Long or short stem?,1,box,11,0,,
,,,12,0,,
,,,12,0,,
,,,12,0,,
,,,12,0,,
100 mL Round Bottom Flask,1,ea,13,0,3/27/2019,
250 mL Round Bottom Flask,2,ea,13,0,3/27/2019,
500 mL Round Bottom Flask,9,ea,13,0,3/27/2019,
Assorted Round Flasks,1,box,13,0,3/27/2019,
Various Glass Adapters,0.00,,13,0,3/27/2019,
Funnels Separatory Cyclinder 500 mL,8,ea,14,0,3/27/2019,
Funnels Separatory Cylinder 250ml,5,ea,14,0,3/27/2019,
Funnels Separatory Cylinder 60ml,7,ea,14,0,3/27/2019,
Glass Stopcocks,24.00,,14,0,3/27/2019,
Funnel Separatory Cone 250ml,15,ea,15,0,3/27/2019,
Various Glass Separatory Funnels,NA,,15,0,3/27/2019,
65 mm Glass Funnels     ?? Is this wide or narrow spout?Long or short stem?,16,ea,16,0,3/27/2019,
"Funnel,  65mm (plastic)    ?? Is this wide or narrow spout?Long or short stem?",1,box,17,0,,
"Funnel,  90mm    ?? Is this wide or narrow spout?Long or short stem?",1,box,17,0,,
"Funnel, Buchner 50mm  ??plastic glass or porcelain?",1,box,17,0,,
Glass Funnels 70mm     ?? Is this wide or narrow spout?Long or short stem?,3,boxes,17,0,,
,36.00,,18,0,,
"Funnel , Plastic 55 mm",3.00,,18,0,,
"Funnel, Buchner 150mm  ??plastic glass or porcelain?",4.00,,18,0,,
"Funnel, Buchner 2 mL  ?   ??plastic glass or porcelain?[",1.00,,18,0,,
"Funnel, Buchner 42.5 mm (plastic)",1.00,,18,0,,
"Funnel, Buchner 60 mL  ??plastic glass or porcelain?",1.00,,18,0,,
"Funnel, Buchner 80mm  ??plastic glass or porcelain?",2.00,,18,0,,
"Funnel, Porcelain Buchner 70mm",1.00,,18,0,,
"Funnel, Porous Glass 30ml",1.00,,18,0,,
"Funnel, Porous Glass, 42.5mm",4.00,,18,0,,
"Funnel, Porous Glass, 55mm",10.00,,18,0,,
"Funnel, Porous Glass, 70mm",8.00,,18,0,,
Crucible Rack,1.00,,19,0,,
"Crucibles, Glass weighted",2.00,,19,0,,
"Funnel, Buchner, 35mm",18.00,,19,0,,
"Funnel, Buchner, 50 mm",0.00,,19,0,,
"Funnel, Plastic Various",Many,,19,0,,
"Funnel, Porous Glass, 15ml",0.00,,19,0,,
"Funnel, Porous Glass, 30 ml",0.00,,19,0,,
Funnels Glass 100mm   ?? Is this wide or narrow spout?,many,,19,0,,
Funnels Glass 35mm  ?? Is this wide or narrow spout?,26.00,,19,0,,
"plastic powder funnels, 65 mm",36.00,,19,0,,
Funnels Glass 65mm  ?? Is this wide or narrow spout?,40.00,,19,0,5/10/2023,
Agate Crucible 35ml,1.00,,20,0,,
Casserole,Many,,20,0,,
Crucibles (various),Many,,20,0,,
"Crucibles, Large",0.00,,20,0,,
"Mortar and Pestle, Large sized (100mm by 130 mL)",12,sets,20,0,,in box
"Mortar and Pestle, Large sized (90 mm)",4.00,,20,0,,in bags
"Mortar and Pestle, medium sized (60 mL)",0.00,,20,0,5/10/2023,in box
"Porcelin Tile, 10 cm x 10 cm",0,Units,20,0,,
Small metal Weigh Dish,1.00,,20,0,,are these aluminium?
"Plastic powder funnels, 104 mm",18.00,,20,0,5/10/2023,placed on the left of shelf
Test Tube Glass 10ml,20.00,,20,0,,
"Crucibles, Large",24.00,,21,0,,
"Crucibles, Lids",Many,,21,0,,
Porcelain (misc.),Many,,21,0,,
Porcelin Boat thing,1.00,,21,0,,
"Watch Glass, 100mm",24.00,,21,0,,
"Watch Glass, 115mm",5,boxes,21,0,,
"Watch Glass, 140mm",5,boxes,21,0,,
20X150 mm Side-arm Test tubes,40.00,,22,0,,
Aqua-pure 2 (two pks),10,pks,22,0,,
Chromotography tanks,2.00,,22,0,,
100 mm plastic funnels    ?? Is this wide or narrow spout?,3,boxes,23,0,,
2 tubes with corkscrew heating element,,,23,0,,
3 ring valve,,,23,0,,
50 mL volumetric pipette,,2,23,0,,
assorted glassward adapters and connectors,,,23,0,,
cylinder with 5 outlets,,,23,0,,
GC Liner,5.00,,23,0,,
general chemistry chest,1.00,,23,0,,on floor
glass ampules,lots,,23,0,,
glass disposable boxes boken glass dispo boxes,none,,23,0,,on floor near window of first aisle
glass tube plastic tube,lots,,23,0,,
glass tube with lots of outlets and metal lining,,,23,0,,
glass valve distillation column,,,23,0,,
plastic funnels  ?? Is this wide or narrow spout?,3,boxes,23,0,,
plastic sheets with teeth,2,boxes,23,0,,
small distillation column,1.00,,23,0,,
"Bottle, Glass, Amber, NM, 1 L",108,ea,B1,0,8/1/2023,3 boxes
"Bottle, Plastic, Clear, NM, 500 mL",250,ea,B1,0,8/1/2023,"2 boxes, not precleaned or capped"
"Bottle, Plastic, Clear, NM, 250 mL",250,ea,B1,0,8/1/2023,"1 box, not precleaned or capped"
"Bottle, Plastic, Amber, NM, 100 mL",500,ea,B1,0,8/1/2023,"1 box, not precleaned or capped, unsure of quantity"
"Jar, Plastic, Straight edge, 500 mL",30,ea,24,0,8/1/2023,"polypropylene precleaned, Backup Stock"
"Jar, Plastic, Straight edge, 250 mL",11,ea,24,0,8/1/2023,"polypropylene precleaned, Backup Stock"
"Wash Bottle, Plastic, 500 mL",12,ea,24,0,8/1/2023,Backup Stock
"Wash Bottle, Plastic, 1 L",10,ea,24,0,8/1/2023,Backup Stock
"Jar, Plastic, Straight edge, 250 mL",20,ea,25,0,8/1/2023,"polypropylene precleaned, Backup location(s): 24"
"Wash Bottle, Plastic, 250 mL",19,ea,25,0,9/29/2023,Backup location(s): 30
"Wash Bottle, Plastic, 500 mL",7,ea,25,0,9/29/2023,Backup location(s): 24
"Dropper Bottle, Glass, Amber, 60 mL",30,ea,26,0,8/1/2023,Backup location(s): 35
"Dropper Bottle, Glass, Clear, 60 mL",48,ea,26,0,8/1/2023,Backup location(s): 34
"Bottle, Glass, Clear, NM, 60 mL",12,ea,26,0,9/29/2023,Backup location(s): 34
"Bottle, Glass, Clear, NM, 125 mL",27,ea,26,0,9/29/2023,Backup location(s): 34
"Bottle, Glass, Amber, NM, 125 mL",24,ea,26,0,9/29/2023,Backup location(s): 35
"Bottle, Glass, Clear, NM, 250 mL",5,ea,26,0,9/29/2023,Backup location(s): 29
"Bottle, Glass, Amber, WM, 250 mL",0,Units,27,0,9/29/2023,
"Bottle, Glass, Amber, NM, 250 mL",13,ea,27,0,9/29/2023,Backup location(s): 35
"Bottle, Glass, Amber, WM, 500 mL",6,ea,27,0,9/29/2023,
"Bottle, Plastic, Clear, NM,  250mL",2,ea,27,0,9/29/2023,Nalgene
"Bottle, Glass, Clear, NM, 500 mL",10,ea,27,0,9/29/2023,"Backup location(s): 34, 46"
"Bottle, Glass, Clear, WM, 500 mL",0,Units,27,0,8/1/2023,
"Bottle, Plastic, Amber, NM, 125mL",8,ea,27,0,9/29/2023,Nalgene
"Bottle, Glass, Amber, NM, 500 mL",12,ea,27,0,9/29/2023,Backup location(s): 35
"Bottle, Glass, Amber, NM, 1 L",7,ea,28,0,9/29/2023,"Backup location(s): 35, B1"
"Bottle, Glass, Amber, WM, 1 L",3,ea,28,0,9/29/2023,
"Bottle, Glass, Clear, NM, 1 L",7,ea,28,0,9/29/2023,"Backup location(s): 30, 6"
"Bottle, Plastic, Clear, NM, 1L",5,ea,28,0,9/29/2023,"Nalgene, Backup location(s): 6"
vacuum flasks,2,ea,29,0,8/1/2023,
Plastic balls,many,,29,0,8/1/2023,
"Bottle, Glass, Amber, NM, 30 mL",many,,29,0,8/1/2023,
"Bottle, Glass, Clear, NM, 250mL",27,ea,29,0,8/1/2023,"3 boxes, 2 x 12 ea + 3 ea, Backup Stock"
Precision Capillary Tubes,5,pk,29,0,8/1/2023,"0.4 mm ID, 75 mm Length, each pk has 12 tubes of 100 ea"
"Wash Bottle, Plastic, 250 mL",18,ea,30,0,8/1/2023,Backup Stock
"Jar, Plastic, Straight Edge, 1 L",8,ea,30,0,8/1/2023,Backup Stock
"Bottle, Glass, Clear, NM, 1 L",9,ea,30,0,8/1/2023,Backup Stock
"Flask, Glass, Flat Bottom, Narrow Mouth, 250 mL",1,box,30,0,8/1/2023,Florence Flask
"Erlenmeyer Flasks, Glass, 10mL",16,ea,31,0,8/1/2023,
"Erlenmeyer Flasks, Glass, 25mL",24,ea,31,0,8/1/2023,back up: n/a
"Erlenmeyer Flasks, Glass, 50mL",3,ea,31,0,8/1/2023,back up: n/a
"Volumetric Flask, Glass, 50 mL",5,ea,31,0,8/1/2023,in the same tray as the 50 mL Erlenmeyers
"Erlenmeyer Flasks, Glass, 250 mL",8,ea,31,0,8/1/2023,
"Volumetric Flask, Glass, 250 mL",4,ea,31,0,8/1/2023,
"Erlenmeyer Flasks, Glass, 500 mL",24,ea,32,0,8/1/2023,
"Sidearm Flasks, Glass, 250 mL",1,ea,32,0,8/1/2023,
"Sidearm Flasks, Glass, 500 mL",7,ea,32,0,8/1/2023,
"Volumetric Flask, Glass, 5 mL",21,ea,33,0,12/11/2023,
"Volumetric Flask, Glass, 10 mL",2,ea,33,0,12/11/2023,
"Volumetric Flask, Glass, 25 mL",1,ea,33,0,8/1/2023,
"Sidearm Flasks, Glass, 250 mL",4,ea,33,0,8/1/2023,
"Sidearm Flasks, Glass, 500 mL",1,ea,33,0,8/1/2023,
"Sidearm Flasks, Glass, 1 L",4,ea,33,0,8/1/2023,
"Volumetric Flask, Glass, 250 mL",4,ea,33,0,8/1/2023,Backup location(s): 11
"Volumetric Flasks, Glass, 500 mL",5,ea,33,0,8/1/2023,Backup location(s): 11
"Dropper Bottle, Glass, Clear, NM, 60 mL",12,ea,34,0,8/1/2023,Backup Stock
"Bottle, Glass, Clear, NM, 60 mL",51,ea,34,0,9/20/2023,"2 x 24 ea + 8 ea, Backup Stock"
"Bottle, Glass, Clear, NM, 125 mL",35,ea,34,0,8/1/2023,"11 ea + 24 ea, Backup Stock"
"Bottle, Glass, Clear, NM, 500 mL",12,ea,34,0,8/1/2023,Backup Stock
"Dropper Bottle, Glass, Amber, NM, 60 mL",36,ea,35,0,8/1/2023,"3 x 12 ea, Backup Stock"
"Bottle, glass, amber, NM, 1 L",3,ea,35,0,8/1/2023,Backup Stock
"Bottle, Glass, Amber, NM, 250 mL",4,ea,35,0,8/1/2023,Backup Stock
"Bottle, glass, amber, NM, 125mL",7,ea,35,0,8/1/2023,Backup Stock
"Bottle, Glass, Amber, NM, 500 mL",20,ea,35,0,8/1/2023,"2 boxes, 12ea + 8ea, Backup Stock"
"Beaker, Glass, 150 mL",36,ea,36,0,8/1/2023,"1 case w/ 3 x 12 ea, Backup Stock"
"Beaker, Glass, 400 mL",36,ea,36,0,8/1/2023,"3 x 12 ea, Backup Stock"
"Beaker, Glass, 250 mL",24,ea,36,0,8/1/2023,"2 x 12 ea, Backup Stock"
"Beakers, Glass, 10 mL",21,ea,37,0,8/1/2023,
"Beakers, Glass, 20mL",12,ea,37,0,8/1/2023,
"Beakers, Glass, 50mL",24,ea,37,0,8/1/2023,
"Beakers, Glass, 100 mL",20,ea,37,0,9/27/2023,
"beaker, glass, 150 mL",8,ea,37,0,8/1/2023,Backup location(s): 36
"Beakers, Glass, 250 mL",10,ea,37,0,8/1/2023,Backup location(s): 36
"Beakers, Glass, 400 mL",13,ea,38,0,8/1/2023,Backup location(s): 36
"Beakers, Glass, 600 mL",4,ea,38,0,8/1/2023,Backup location(s): 40
"Graduated Cylinders, Glass, 5mL",25,ea,38,0,8/1/2023,Backup location(s): 43
"Graduated Cylinders, Glass, 10mL",12,ea,38,0,8/1/2023,Backup location(s): 43
"Graduated Cylinders, Glass, 25mL",22,ea,39,0,8/1/2023,Backup location(s): 45
"Graduated Cylinders, Glass, 50mL",13,ea,39,0,8/1/2023,
"Graduated Cylinders, Plastic, 50mL",26,ea,39,0,8/1/2023,
"Graduated Cylinder, Glass, 100mL",0,Units,39,0,8/1/2023,
"Graduated Cylinder, Glass, 250mL",3,ea,39,0,8/1/2023,
"beaker, glass, 600mL",42,ea,40,0,8/1/2023,"7 boxes, 7 x 6 ea, Backup Stock"
-,7,ea,41,0,8/1/2023,
test tube racks,1,box,42,0,8/1/2023,
misc glass tubes,1,box,42,0,8/1/2023,
"beaker, 45x6cm",1,box,42,0,8/1/2023,
"beaker, berzelius, 400mL",1,box,42,0,8/1/2023,
"graduated cylinder, glass, 5mL",53,ea,43,0,8/1/2023,"2 boxes, 25ea + 38ea"
"graduated cylinder, glass, 10mL",20,ea,43,0,8/1/2023,1 box
"graduated cylinder, glass, 500mL",8,ea,43,0,8/1/2023,
"graduated cylinder, plastic, 500mL",2,ea,44,0,8/1/2023,
"graduated cylinder, glass, 250mL",5,ea,44,0,8/1/2023,
"graduated cylinder, glass, 250mL",12,ea,44,0,8/1/2023,
"graduated cylinder, glass, 1L",1,ea,45,0,8/1/2023,
"graduated cylinder, glass, 2L",1,ea,45,0,8/1/2023,
"Graduated Cylinders, Glass, 25mL",9,ea,45,0,8/1/2023,1 box
"Bottle, glass, square",1,box,46,0,8/1/2023,partially full
"Bottle, Glass, Clear, NM, 500 mL",41,ea,46,0,8/1/2023,"4 boxes, 3 x 12ea + 5ea"
"pipette jar, large",many,,47,0,8/1/2023,"nalgene, fisher, and other brands"
"plastic bottle, very large",1,ea,47,0,8/1/2023,
Polyethylene Stoppers (Small and Large),1,box,48,0,8/1/2023,
"beaker, glass, 1L",18,ea,48,0,8/1/2023,3 boxes
"beaker, glass, 2L",2,ea,48,0,8/1/2023,"1 box, 2 ea"
"titration parts, funnel stops",1,box,49,0,8/1/2023,
"conical tube, pyrex, 50mL",2,boxes,49,0,8/1/2023,
Casserole and Crucibles,many,,50,0,,many
Ceramic Test Tube Holders,7,boxes,50,0,,
"dessicator, glass, various sizes",20,ea,51,0,8/1/2023,more on 69
"pasteur pipet 6""",2,cases,52,0,5/25/2023,5 pk/cs; 200 ea/pk
"6"" x 9"" Plastic Zip Bags",1,case,52,0,5/25/2023,
5 3/4 in Glass Pipets,1,case,52,0,5/25/2023,Backup location(s): 53
"4"" x 6"" zip bags (back up stock)",3,case,52,0,5/25/2023,Backup location(s): 9
"9"" x 12"" zip bags (back up stock)",2,case,52,0,5/25/2023,
5 3/4 in Glass Pipets,1750,ea,53,0,5/25/2023,"Backup location(s): 17, 52"
"Pasteur Pipet 6""",11,boxes,53,0,5/18/2023,"back up: 2 cases shelf #1 & 5 cs #17 & 2 cs #52, Backup location(s): 1, 17, 52"
"Pasteur Pipet 9""",7,boxes,53,0,5/25/2023,"back up: 2 cases shelf 55, Backup location(s): 55, 70"
Plastic Bags Garbage Large,2,boxes,54,0,5/25/2023,"1 dark color, 1 clear"
Plastic Bags Garbage Small,1,box,54,0,5/25/2023,
"Ziploc bags 9"" x 16"" heavier duty",1,box,54,0,5/25/2023,
"9"" pasteur pipet",2,cases,55,0,5/25/2023,
0.5 - 10 uL pipet tips,1,box,55,0,5/25/2023,
10 uL pipet tips,1,box,55,0,5/25/2023,pink
0 - 300 uL pipet tips,1,box,55,0,5/25/2023,red
1 - 300 uL pipet tips,1,box,55,0,5/25/2023,blue
500 mL round bottom flask,4,ea,56,0,5/25/2023,"2 boxes, 2/box"
"1"" test tubes",1,box,56,0,5/25/2023,
"3/4"" test tubes",2,boxes,56,0,5/25/2023,
10 mL round bottom flask,3,ea,56,0,5/25/2023,
connection adapter,2,ea,56,0,5/25/2023,in box with 10 mL RBF's
5 mL pear flask,4,ea,56,0,5/25/2023,
"micropipet tips, unkown size",200,ea,56,0,5/25/2023,open box
1L glass kettles,500.00,,57,0,,
Heater,1.00,,57,0,,
Pipette Bulbs 1 mL,8.00,,32C,0,1/29/2024,backup stock shelf 57
Pipette Bulbs 2 mL,13.00,,31C,0,1/29/2024,backup stock shelf 57
Vials Plastic 12ml,1,box,57,0,,
"1 L glass kettles, 34-45& 24-40 jointed",1,box,58,0,,
,,,,0,,
sep-pak cartriges,7,ea,58,0,,
unknown box,1,ea,58,0,,
volumetric flask,est.,8,58,0,,
weineger odd glassware,1,box,58,0,,
0.1-10 microliter sterile pipet tips,10,packs/96,59,0,,
10ul pipette tips,2,packs,59,0,11/17/2022,
1-200 ul pipette tips,4,boxes,59,0,11/17/2022,backup stock on shelf 55
250ul pipette tips,1000+,,59,0,,
Face Shield,5,cases,59,0,,
s,10,cases,59,0,,"5 cases of 960 in backstock, Backup location(s): 75"
"Film, lead film shield",1000+,,59,0,,
Justrite Carboy Spigot,1.00,,59,0,,
macrosep 10k,1.00,,59,0,,
micro pipet tip holders 200microliter,6.00,,59,0,,
non-sterile pipet tips,1.00,,59,0,,
Pipet Tips Yellow,1500.00,,59,0,,
sterile muiltifit guard filter tips 1-10 microliter,3,packs,59,0,,
12.5cm Filter Paper (backstock),8,packs/,60,0,,
gel well tips not sterile est. 100ul,3,boxes,60,0,,
volumetric Pipettes 1 ml,0.00,,60,0,1/20/2023,
volumetric Pipettes 10 mL,0.00,,60,0,1/20/2023,
volumetric Pipettes 2 ml,5,packs,60,0,1/20/2023,
volumetric Pipettes 3 ml,0.00,,60,0,1/20/2023,
volumetric Pipettes 5 ml,0.00,,60,0,1/20/2023,Backup location(s): 57
volumetric Pipettes 50 ml,30+,,60,0,,
11cm Filter Paper (backstock),10,cases,61,0,,
15.0 cm Filter Paper,10,ea,61,0,,"in box of assorted filter paper, backup and loose"
9cm Filter Paper (backstock),13,cases,61,0,,
adhesive fillmounts,1,box,61,0,,
condenser and rotovap parts,2,boxes,61,0,,
melting point capillaries,random,,61,0,2/5/21 re,"in glove box, but labeled capillaries"
Plastic 1L bottle wide mouth,2,boxes,61,0,,
Test tubes 25ml test tubes,24.00,,61,0,,
12.5 cm Filter Paper,3,boxes,62,0,,
200 mm Sidearm tubes,2,boxes/,62,0,11/16/2022,"backup here: C19, C20 regular"
25mL pippet pumps,1,box,62,0,,back up stock
150 mm filter paper,11,full,62,0,11/16/2022,"for 110, 8 full boxes"
90mm filter paper,2,full,62,0,11/16/2022,back stock for D16
50 Microliter CO-RE Tips,0.00,,62,0,,maybe on shelf to the right or above
"5mm pressure caps, NMR Pressure Cap Set",1,case,62,0,,
"Adapter, distillation, 14/20, bent 105° with drip tube",5.00,,62,0,,5 more coming (backorder)
"Buffer Tablets pH 2,4,10,12",1,each,62,0,11/16/2022,back up stock (regular in drawers below)
Grade 1 15mm filter paper,2,boxes,62,0,,500 circles/box
Litmus Paper Blue,0.00,,62,0,,"Backup stock, check drawers"
Plastic Aspirator,0.00,,62,0,,backup stock
Spot plates,no,backup,62,0,,"bacup here, C18 regular stock"
Weigh Boats Aluminum Medium (55mm),5,boxes,62,0,,
Weigh Boats Aluminum small,2,boxes,62,0,,
disposable 12mm x75mm glass culture tubes 250 per box,2.00,,63,0,3/4/2024,backup shelf 57 (2 cases)
disposable 13mm x100mm glass culture tubes 250 per box,0.00,,63,0,3/4/2024,on shelf 74
"10ml glass conical, 125 per box",6.00,,63,0,3/4/2024,backup shelf 64 (2 boxes)
glass culture tube 18mm x150mm,2.00,,63,0,3/4/2024,backup shelf 74 (2.5 boxes)
"4"" medicine droppers",1,box,64,0,,
Digital pH meters,16.00,,64,0,,broken
Disposable semi-micro Cuvettes,2,boxes,64,0,12/19/2022,Backup location(s): 65
Extra-Large hexagonal weigh boats,1,box,64,0,,Backup location(s): 65
Large hexagonal weight boats,3,boxes,64,0,1/6/2023,
Small hexagonal weigh boats,1,box,64,0,1/6/2023,3 pks stock
safety glasses,100,ea,64,0,1/29/2024,"15 box, backup stock"
4.5 mL Cuvettes,2,box,65,0,12/19/2022,
"Cuvette, square, Polystyrene (vis)",400,ea,65,0,7/11/2022,
Disposable Macro Cuvettes,1,boxes,65,0,12/19/2022,"(1.5 mL), Backup location(s): 64"
Weigh Boats Large (hexagonal),1,box,65,0,,extra large weighboats on 67
Heating mantels,1,box,66,0,,
Plastic Balls,3,bags,66,0,,
Seperatory Funnels,1,box,66,0,,
"4"" medicine droppers",1,box,67,0,,backstock (regular in 30c)
4.5mL Cuvettes,1,box,67,0,,
assorted stopcocks and condensers,1,box,67,0,,
"Drying Tubes (150mm, 6"", 8"")",1,boxes,67,0,,box also contains adapter holder for spec 20
file boxes (empty),2.00,,67,0,,
Large Cork Rings,1,box,67,0,,
Silica TLC plates,2,boxes,68,0,,
100mm Drying Tubes,1,box,68,0,,
brown plastic caps for 500ml plastic bottle,,,111,0,sept 10 2024,
100mm Glass Funnels   ?? Is this wide or narrow spout? Long or short stem?,1,box,68,0,,
2 mL Plastic Collection Tubes,2,boxes,68,0,,
Flexplates TLC,4,boxes,68,0,,
Rimless Test Tubes,1,box,68,0,,
test tube clamp,1.00,,68,0,,
"thin layer chromatography plates, tlc plates",1.00,,68,0,,
6-Outlet Surge Protector,3.00,,69,0,,rebecca borrowed it 4/21 8:45am
extension cords,5.00,,69,0,,
glass container things (drying?),5.00,,69,0,,more on shelf 51 (other side)
heater,1.00,,69,0,,
plastic sheets - at the back of aisle 2 on the right,1,roll,69,0,,"3 feet high, wrapped in brown paper, looks silver"
Various Extension Cords,1,box,69,0,,
"Bottle, Plastic, Clear, NM, 500 mL",250,ea,B2,0,8/1/2023,"2 boxes, not precleaned or capped, same box as listed in B1, but also can be accessed from this side"
"Bottle, Plastic, Clear, NM, 250 mL",250,ea,B2,0,8/1/2023,"1 box, not precleaned or capped, same box as listed in B1, but also can be accessed from this side"
"Bottle, Plastic, Amber, NM, 100 mL",500,ea,B2,0,8/1/2023,"1 box, not precleaned or capped, unsure of quantity, same box as listed in B1, but also can be accessed from this side"
Hard Hats,60,ea,B2,0,8/11/2023,"3 boxes, backup stock"
safety glasses,150,ea,B2,0,8/11/2023,"1 box, backup stock"
petri plates,0.25,box,70,0,8/2/2023,quarter full
50mL Burets,1,box,70,0,8/2/2023,same box as listed on shelf 100
15 mL burets,1,box,70,0,8/2/2023,same box as listed on shelf 100
1/2 Dram Vials 144/pk,0.00,,71,0,5/25/2023,0 in back up
1 Dram Vials 144/pk,3.00,,71,0,5/25/2023,0 in back up
2 Dram Vials 144/pk,6.00,,72,0,8/2/2023,"0, Backup location(s): 80"
